Канада: Оттава
США: Вашингтон
Мексика: Мехико
Гренада: Сент-Джорджес
Сент-Люсия: Кастри
Сент-Винсент и Гренадины: Кингстаун
Барбадос: Бриджтаун
Антигуа и Барбуда: Сент-Джонс
Доминика: Розо
Ямайка: Кингстон
Багамы: Нассау
Куба: Гавана
Гаити: Порт-о-Пренс
Пуэрто-Рико: Сан-Хуан
Аргентина: Буэнос-Айрес
Бразилия: Бразилиа
Чили: Сантьяго
Колумбия: Богота
Парагвай: Асунсьон
Перу: Лима
Уругвай: Монтевидео
Венесуэла: Каракас
Эквадор: Кито
Боливия: Сукре
Боливия: Ла-Пас
Гайана: Джорджтаун
Суринам: Парамарибо
Французская Гвиана: Кайенна
Азербайджан: Баку
Армения: Ереван
Афганистан: Кабул
Бахрейн: Манама
Бангладеш: Дакка
Бутан: Тхимпху
Вьетнам: Ханой
Грузия: Тбилиси
Индия: Нью-Дели
Индонезия: Джакарта
Иран: Тегеран
Ирак: Багдад
Израиль: Иерусалим
Казахстан: Нур-Султан
Киргизстан: Бишкек
Китай: Пекин
Южная Корея: Сеул
Северная Корея: Пхеньян
Кувейт: Кувейт
Лаос: Вьентьян
Малайзия: Куала-Лумпур
Мальдивы: Мале
Монголия: Улан-Батор
Непал: Катманду
Оман: Маскат
Пакистан: Исламабад
Саудовская Аравия: Эр-Рияд
Сингапур: Сингапур
Таджикистан: Душанбе
Таиланд: Бангкок
Туркменистан: Ашхабад
Узбекистан: Ташкент
Филиппины: Манила
Шри-Ланка: Шри-Джаяварденепура-Коте
Албания: Тирана
Андорра: Андорра-ла-Велья
Австрия: Вена
Беларусь: Минск
Бельгия: Брюссель
Босния и Герцеговина: Сараево
Болгария: София
Великобритания: Лондон
Венгрия: Будапешт
Германия: Берлин
Греция: Афины
Дания: Копенгаген
Исландия: Рейкьявик
Испания: Мадрид
Италия: Рим
Кипр: Никосия
Латвия: Рига
Литва: Вильнюс
Люксембург: Люксембург
Мальта: Валлетта
Молдавия: Кишинев
Нидерланды: Амстердам
Норвегия: Осло
Польша: Варшава
Португалия: Лиссабон
Румыния: Бухарест
Россия: Москва
Словакия: Братислава
Словения: Любляна
Сербия: Белград
Турция: Анкара
Украина: Киев
Финляндия: Хельсинки
Франция: Париж
Хорватия: Загреб
Чехия: Прага
Швеция: Стокгольм
Швейцария: Берн
Эстония: Таллин
Алжир: Алжир
Ангора: Луанда
Бенин: Порто-Ново
Ботсвана: Габороне
Буркина-Фасо: Уагадугу
Бурунди: Гитега
Вануату: Порт-Вила
Восточный Тимор: Дили
Габон: Либревиль
Гамбия: Банжул
Гана: Аккра
Гвинея: Конакри
Гвинея-Бисау: Бисау
Демократическая Республика Конго: Киншаса
Джибути: Джибути
Египет: Каир
Замбия: Лусака
Зимбабве: Хараре
Кабо-Верде: Прая
Камерун: Яунде
Кения: Найроби
Коморы: Морони
Лесото: Масеру
Либерия: Монровия
Ливия: Триполи
Мавритания: Нуакшот
Мадагаскар: Антананариву
Малави: Лилонгве
Мали: Бамако
Марокко: Рабат
Мозамбик: Мапуту
Намибия: Виндхук
Нигер: Ниамей
Нигерия: Абуджа
Руанда: Кигали
Сан-Томе и Принсипи: Сан-Томе
Сенегал: Дакар
Сьерра-Леоне: Фритаун
Танзания: Додома
Того: Ломе
Тунис: Тунис
Уганда: Кампала
Центральноафриканская Республика: Банги
Австралия: Канберра
Новая Зеландия: Веллингтон
Фиджи: Сува
Папуа - Новая Гвинея: Порт-Морсби
Самоа: Апиа
Тонга: Нукуалофа
Вануату: Порт-Вила
Кирибати: Южная Тарава
Маршалловы Острова: Маджуро
Микронезия: Паликир
Науру: Ярен
Тувалу: Фунафути
Соломоновы Острова: Хониара
